SO_No,SO_No_TPOS,SO_Date,Customer_No,Customer_Name,SO_Type,Salesman_Code,Salesman_Name,Partnumber,Qty,Retail_Price,Scp_Disc,Campaign_Code
SO2507055016,TPOS00098797,09/07/2025,C1001,PD MANDIRI BERSATU,3,001-S3,Sigit Pratama,89L218K963,88,236500,2,
SO2507055017,TPOS00098798,06/07/2025,C1001,PD MANDIRI BERSATU,3,001-S3,Sigit Pratama,97N549W407,1,502000,4,
SO2507055018,TPOS00098799,06/07/2025,C1001,PD MANDIRI BERSATU,3,001-S3,Sigit Pratama,52N105K497,43,343800,3,
SO2507055019,TPOS00098800,05/07/2025,C1001,PD MANDIRI BERSATU,3,001-S3,Sigit Pratama,29Y732T634,55,307000,3,
SO2507055020,TPOS00098801,06/07/2025,C1001,PD MANDIRI BERSATU,3,001-S3,Sigit Pratama,23A433V455,38,382500,2,
SO2507055021,TPOS00098802,01/07/2025,C1001,PD MANDIRI BERSATU,3,001-S3,Sigit Pratama,38Q217U140,6,572200,0,
SO2507055022,TPOS00098803,24/07/2025,C1001,PD MANDIRI BERSATU,3,001-S3,Sigit Pratama,38B790F133,234,385700,5,
SO2507055023,TPOS00098804,15/07/2025,C1001,PD MANDIRI BERSATU,3,001-S3,Sigit Pratama,61D143M418,3,349600,4,
SO2507055024,TPOS00098805,12/07/2025,C1002,TB MEGA MULTINDO,3,001-S3,Sigit Pratama,83N966R507,2,214400,1,
SO2507055025,TPOS00098806,12/07/2025,C1002,TB MEGA MULTINDO,3,001-S3,Sigit Pratama,47R254C942,1,846800,5,
SO2507055026,TPOS00098807,17/07/2025,C1003,TB HARAPAN TEKNIK,3,001-S3,Sigit Pratama,85W210U401,2,60800,2,
SO2507055027,TPOS00098808,27/07/2025,C1003,TB HARAPAN TEKNIK,3,001-S3,Sigit Pratama,89L218K963,35,265400,1,
SO2507055028,TPOS00098809,19/07/2025,C1004,PT MULIA MAKMUR,3,001-S4,Wahyu Fauzi,69F636V942,2,1010200,1,
SO2507055029,TPOS00098810,14/07/2025,C1004,PT MULIA MAKMUR,3,001-S4,Wahyu Fauzi,62N896W152,1,1000,1,
SO2507055030,TPOS00098811,24/07/2025,C1007,TOKO BUANA KARYA,3,001-S4,Wahyu Fauzi,76S244D539,1,136700,4,
SO2507055031,TPOS00098812,21/07/2025,C1007,TOKO BUANA KARYA,3,001-S4,Wahyu Fauzi,25Q403X156,14,39000,4,
SO2507055032,TPOS00098813,05/07/2025,C1007,TOKO BUANA KARYA,3,001-S4,Wahyu Fauzi,92W336F990,2,539500,1,
SO2507055033,TPOS00098814,05/07/2025,C1009,TB LOGAM MULTINDO,3,001-S1,Yanto Handoko,54R359X261,1,967000,1,
SO2507055034,TPOS00098815,08/07/2025,C1009,TB LOGAM MULTINDO,3,001-S1,Yanto Handoko,22D283E672,1,2099200,5,
SO2507055035,TPOS00098816,19/07/2025,C1015,TOKO SELATAN JASA,3,001-S4,Wahyu Fauzi,25Q403X156,55,62800,2,
SO2507055036,TPOS00098817,16/07/2025,C1015,TOKO SELATAN JASA,3,001-S4,Wahyu Fauzi,23S142G638,6,357100,4,
SO2507055037,TPOS00098818,06/07/2025,C1017,PT CAHAYA MOTOR,3,002-S2,Agus Halim,23A433V455,42,265800,3,
SO2507055038,TPOS00098819,14/07/2025,C1017,PT CAHAYA MOTOR,3,002-S2,Agus Halim,39P162C970,1,28500,3,
SO2507055039,TPOS00098820,01/07/2025,C1017,PT CAHAYA MOTOR,3,002-S2,Agus Halim,73N660Y104,27,50500,0,
SO2507055040,TPOS00098821,06/07/2025,C1018,PT SURYA TEKNIK,3,002-S2,Agus Halim,85U563Z744,61,12300,0,
SO2507055041,TPOS00098822,23/07/2025,C1018,PT SURYA TEKNIK,3,002-S2,Agus Halim,13K855U244,61,133600,3,
SO2507055042,TPOS00098823,16/07/2025,C1018,PT SURYA TEKNIK,3,002-S2,Agus Halim,40G538B810,2,1004800,5,
SO2507055043,TPOS00098824,21/07/2025,C1019,CV INDAH PERDANA,3,002-S1,Kusuma Darmawan,23A433V455,128,354000,5,
SO2507055044,TPOS00098825,08/07/2025,C1022,CV UTAMA MULTINDO,3,002-S4,Maman Susanto,29P759G246,3,1057000,3,
SO2507055045,TPOS00098826,14/07/2025,C1022,CV UTAMA MULTINDO,3,002-S4,Maman Susanto,51A972F635,1,1643000,0,
SO2507055046,TPOS00098827,01/07/2025,C1022,CV UTAMA MULTINDO,3,002-S4,Maman Susanto,42X713Q847,3,939400,5,
SO2507055047,TPOS00098828,16/07/2025,C1022,CV UTAMA MULTINDO,3,002-S4,Maman Susanto,79A466N287,1,134700,0,
SO2507055048,TPOS00098829,04/07/2025,C1022,CV UTAMA MULTINDO,3,002-S4,Maman Susanto,29Y732T634,41,121100,4,
SO2507055049,TPOS00098830,09/07/2025,C1023,TOKO JAYA PARTS,3,002-S4,Maman Susanto,72N148E767,4,1438000,3,
SO2507055050,TPOS00098831,06/07/2025,C1026,PT ABADI UTAMA,3,002-S4,Maman Susanto,44C623L870,13,867900,3,
SO2507055051,TPOS00098832,02/07/2025,C1028,CV MEGA SPAREPART,3,002-S4,Maman Susanto,38B790F133,54,304300,2,
SO2507055052,TPOS00098833,06/07/2025,C1028,CV MEGA SPAREPART,3,002-S4,Maman Susanto,89L218K963,16,280900,3,
SO2507055053,TPOS00098834,24/07/2025,C1028,CV MEGA SPAREPART,3,002-S4,Maman Susanto,89L218K963,101,301100,5,
SO2507055054,TPOS00098835,09/07/2025,C1028,CV MEGA SPAREPART,3,002-S4,Maman Susanto,61W532L773,2,1000,2,
