SO_No,SO_No_TPOS,SO_Date,Customer_No,Customer_Name,SO_Type,Salesman_Code,Salesman_Name,Partnumber,Qty,Retail_Price,Scp_Disc,Campaign_Code
SO2607060813,TPOS00103619,06/07/2026,C1006,CV UTARA PERDANA,3,001-S1,Yanto Handoko,96E987N751,1,396700,1,
SO2607060814,TPOS00103620,19/07/2026,C1006,CV UTARA PERDANA,3,001-S1,Yanto Handoko,22W651E724,7,301200,1,
SO2607060815,TPOS00103621,04/07/2026,C1007,TOKO BUANA KARYA,3,001-S2,Budi Darmawan,97W575P162,3,1806600,1,
SO2607060816,TPOS00103622,23/07/2026,C1007,TOKO BUANA KARYA,3,001-S2,Budi Darmawan,55R693V633,5,324400,2,
SO2607060817,TPOS00103623,05/07/2026,C1007,TOKO BUANA KARYA,3,001-S2,Budi Darmawan,43K359P654,34,398800,1,
SO2607060818,TPOS00103624,21/07/2026,C1010,TOKO NUSANTARA PERDANA,3,001-S2,Budi Darmawan,16M768T328,2,17300,3,
SO2607060819,TPOS00103625,19/07/2026,C1012,TOKO NUSANTARA PRATAMA,3,001-S1,Yanto Handoko,22K784N279,1,871100,5,
SO2607060820,TPOS00103626,27/07/2026,C1012,TOKO NUSANTARA PRATAMA,3,001-S1,Yanto Handoko,54D899L706,1,980700,1,
SO2607060821,TPOS00103627,15/07/2026,C1014,PT PUTRA RAYA,3,001-S2,Budi Darmawan,33D755B464,2,206400,1,
SO2607060822,TPOS00103628,16/07/2026,C1014,PT PUTRA RAYA,3,001-S2,Budi Darmawan,21D258U260,2,931000,5,
SO2607060823,TPOS00103629,12/07/2026,C1014,PT PUTRA RAYA,3,001-S2,Budi Darmawan,15X595P151,1,90100,5,
SO2607060824,TPOS00103630,06/07/2026,C1015,TOKO SELATAN JASA,3,001-S1,Yanto Handoko,51V854V700,6,504100,0,
SO2607060825,TPOS00103631,06/07/2026,C1017,PT CAHAYA MOTOR,3,002-S1,Kusuma Darmawan,92H891F411,94,41700,5,
SO2607060826,TPOS00103632,22/07/2026,C1017,PT CAHAYA MOTOR,3,002-S1,Kusuma Darmawan,40Y597J715,3,182000,4,
SO2607060827,TPOS00103633,16/07/2026,C1019,CV INDAH PERDANA,3,002-S4,Maman Susanto,28V991Z421,6,562500,4,
SO2607060828,TPOS00103634,22/07/2026,C1019,CV INDAH PERDANA,3,002-S4,Maman Susanto,19J756V360,12,10900,5,
SO2607060829,TPOS00103635,02/07/2026,C1019,CV INDAH PERDANA,3,002-S4,Maman Susanto,25D871S921,3,220700,4,
SO2607060830,TPOS00103636,28/07/2026,C1019,CV INDAH PERDANA,C,002-S4,Maman Susanto,37N358Y580,1,454000,1,GBR24-01
SO2607060831,TPOS00103637,13/07/2026,C1019,CV INDAH PERDANA,3,002-S4,Maman Susanto,96Q332D906,9,220100,1,
SO2607060832,TPOS00103638,07/07/2026,C1021,TOKO GEMILANG SERVIS,3,002-S1,Kusuma Darmawan,42H554D420,3,1000,0,
SO2607060833,TPOS00103639,01/07/2026,C1022,CV UTAMA MULTINDO,3,002-S1,Kusuma Darmawan,35T712T457,2,497200,3,
SO2607060834,TPOS00103640,05/07/2026,C1022,CV UTAMA MULTINDO,3,002-S1,Kusuma Darmawan,57M624X879,23,213700,3,
SO2607060835,TPOS00103641,03/07/2026,C1024,TB SURYA MAKMUR,3,002-S1,Kusuma Darmawan,45E231P273,126,62900,0,
SO2607060836,TPOS00103642,28/07/2026,C1024,TB SURYA MAKMUR,3,002-S1,Kusuma Darmawan,25D871S921,8,13500,3,
SO2607060837,TPOS00103643,11/07/2026,C1024,TB SURYA MAKMUR,3,002-S1,Kusuma Darmawan,41E185V152,1,223700,4,
SO2607060838,TPOS00103644,07/07/2026,C1028,CV MEGA SPAREPART,3,002-S2,Agus Halim,82Z492C536,2,233600,4,
SO2607060839,TPOS00103645,12/07/2026,C1028,CV MEGA SPAREPART,3,002-S2,Agus Halim,57M624X879,16,147800,1,
SO2607060840,TPOS00103646,02/07/2026,C1028,CV MEGA SPAREPART,3,002-S2,Agus Halim,43U995W283,13,471000,1,
SO2607060841,TPOS00103647,09/07/2026,C1029,TOKO PUTRA UTAMA,3,002-S4,Maman Susanto,18N361Y492,1,1046100,2,
SO2607060842,TPOS00103648,09/07/2026,C1031,PD PRIMA NIAGA,3,002-S4,Maman Susanto,96Y476L478,1,873900,2,
SO2607060843,TPOS00103649,04/07/2026,C1031,PD PRIMA NIAGA,3,002-S4,Maman Susanto,56A638K280,14,1013400,5,
SO2607060844,TPOS00103650,05/07/2026,C1031,PD PRIMA NIAGA,3,002-S4,Maman Susanto,56Y415L113,1,252900,3,
SO2607060845,TPOS00103651,12/07/2026,C1032,TB HARAPAN NIAGA,3,002-S3,Teguh Suryana,81U674L286,3,871300,4,
SO2607060846,TPOS00103652,14/07/2026,C1032,TB HARAPAN NIAGA,3,002-S3,Teguh Suryana,63Z955Y692,4,609000,3,
SO2607060847,TPOS00103653,15/07/2026,C1033,CV PERSADA PERDANA,3,002-S1,Kusuma Darmawan,47F922P816,4,779300,0,
SO2607060848,TPOS00103654,19/07/2026,C1033,CV PERSADA PERDANA,3,002-S1,Kusuma Darmawan,44T632M601,60,251700,5,
SO2607060849,TPOS00103655,25/07/2026,C1033,CV PERSADA PERDANA,3,002-S1,Kusuma Darmawan,85P440L610,4,525800,2,
SO2607060850,TPOS00103656,04/07/2026,C1038,PD MAKMUR BENGKEL,3,003-S5,Gunawan Hartono,97W575P162,4,1339500,2,
SO2607060851,TPOS00103657,09/07/2026,C1038,PD MAKMUR BENGKEL,3,003-S5,Gunawan Hartono,84N838B423,28,254300,0,
SO2607060852,TPOS00103658,19/07/2026,C1038,PD MAKMUR BENGKEL,3,003-S5,Gunawan Hartono,62C775P635,1,1000,1,
SO2607060853,TPOS00103659,15/07/2026,C1038,PD MAKMUR BENGKEL,3,003-S5,Gunawan Hartono,28Q472X142,3,234300,5,
SO2607060854,TPOS00103660,10/07/2026,C1038,PD MAKMUR BENGKEL,3,003-S5,Gunawan Hartono,25C592L647,4,217500,0,
SO2607060855,TPOS00103661,13/07/2026,C1038,PD MAKMUR BENGKEL,3,003-S5,Gunawan Hartono,59V741S584,1,819000,4,
SO2607060856,TPOS00103662,21/07/2026,C1038,PD MAKMUR BENGKEL,3,003-S5,Gunawan Hartono,74V901M511,5,504100,4,
SO2607060857,TPOS00103663,18/07/2026,C1039,CV PUTRA BENGKEL,3,003-S2,Wibowo Cahyadi,26G247V709,2,599700,3,
SO2607060858,TPOS00103664,12/07/2026,C1041,PT MAKMUR DIESEL MOTOR,3,003-S5,Gunawan Hartono,76Z594Z288,1,1392000,2,
SO2607060859,TPOS00103665,16/07/2026,C1043,PT LESTARI DIESEL,3,003-S5,Gunawan Hartono,59W826S397,1,306800,5,
SO2607060860,TPOS00103666,25/07/2026,C1043,PT LESTARI DIESEL,3,003-S5,Gunawan Hartono,70Z186V901,14,123400,2,
SO2607060861,TPOS00103667,11/07/2026,C1043,PT LESTARI DIESEL,3,003-S5,Gunawan Hartono,97L861T556,2,158000,3,
SO2607060862,TPOS00103668,02/07/2026,C1043,PT LESTARI DIESEL,3,003-S5,Gunawan Hartono,66F496E466,3,307000,2,
SO2607060863,TPOS00103669,01/07/2026,C1043,PT LESTARI DIESEL,3,003-S5,Gunawan Hartono,56R464Q393,4,701700,3,
SO2607060864,TPOS00103670,14/07/2026,C1046,TOKO BERSAMA AUTOPARTS,3,003-S1,Yuli Tanjung,85T808S329,1,182200,5,
SO2607060865,TPOS00103671,12/07/2026,C1046,TOKO BERSAMA AUTOPARTS,3,003-S1,Yuli Tanjung,25D871S921,1,50200,3,
SO2607060866,TPOS00103672,13/07/2026,C1046,TOKO BERSAMA AUTOPARTS,3,003-S1,Yuli Tanjung,85P440L610,13,336900,3,
SO2607060867,TPOS00103673,01/07/2026,C1046,TOKO BERSAMA AUTOPARTS,3,003-S1,Yuli Tanjung,95D503A392,2,1000,4,
SO2607060868,TPOS00103674,03/07/2026,C1047,CV MANDIRI AUTO,3,003-S4,Surya Suryadi,50D571W916,1,286000,5,
SO2607060869,TPOS00103675,13/07/2026,C1047,CV MANDIRI AUTO,3,003-S4,Surya Suryadi,74L163C435,104,67200,1,
SO2607060870,TPOS00103676,28/07/2026,C1047,CV MANDIRI AUTO,3,003-S4,Surya Suryadi,57M624X879,11,182600,1,
SO2607060871,TPOS00103677,03/07/2026,C1047,CV MANDIRI AUTO,3,003-S4,Surya Suryadi,15A436N539,6,421600,4,
SO2607060872,TPOS00103678,03/07/2026,C1047,CV MANDIRI AUTO,3,003-S4,Surya Suryadi,56B477H382,26,68200,3,
SO2607060873,TPOS00103679,25/07/2026,C1047,CV MANDIRI AUTO,3,003-S4,Surya Suryadi,45E231P273,56,69400,0,
SO2607060874,TPOS00103680,24/07/2026,C1047,CV MANDIRI AUTO,3,003-S4,Surya Suryadi,16M768T328,16,193200,2,
